model_name,occupation,dp_gap,eo_tpr_gap,eo_fpr_gap
pythia_410m_zeroshot (Unmasked),poet,0.0029095612134829047,0.1466666666666667,0.00032159026152295505
pythia_410m_zeroshot (Unmasked),composer,0.015616642725918081,0.0031746031746031633,0.002385598256051759
pythia_410m_zeroshot (Unmasked),painter,0.000980288684284434,0.030172413793103425,0.00041335447173112107
pythia_410m_zeroshot (Unmasked),accountant,0.0036930766217248426,0.07291666666666669,0.0005311070406200238
pythia_410m_zeroshot (Unmasked),filmmaker,0.006074927685821054,0.2357142857142857,0.0006317119393556538
pythia_410m_zeroshot (Unmasked),dietitian,0.013024602026049204,0.5862068965517241,0.0007390983000739098
pythia_410m_zeroshot (Unmasked),comedian,0.004838833742681376,0.27058823529411763,0.0006246096189881324
pythia_160m_masked_zeroshot (Masked),nurse,0.031114327062228653,0.2595419847328244,0.007194244604316547
pythia_160m_masked_zeroshot (Masked),photographer,0.004280713177906296,0.03516274649560466,0.0011505675454423268
pythia_160m_masked_zeroshot (Masked),professor,0.20635076804187336,0.16454468405687916,0.21502805836139177
pythia_160m_masked_zeroshot (Masked),architect,0.0030902348578491965,0.05,0.0012836970474967907
pythia_160m_masked_zeroshot (Masked),journalist,0.007794010579246858,0.07408010420058611,0.002235677504018636
pythia_160m_masked_zeroshot (Masked),teacher,0.22763000899790528,0.5132467532467533,0.20514113691453592
pythia_160m_masked_zeroshot (Masked),physician,0.003134061632967755,0.2005022213637242,0.01640577313091933
pythia_160m_masked_zeroshot (Masked),attorney,0.0026376563229514576,0.01236203090507726,0.0008845074542572993
pythia_160m_masked_zeroshot (Masked),psychologist,0.0022763090342188723,0.0275974025974026,0.0
pythia_160m_masked_zeroshot (Masked),dentist,0.016234689697487925,0.026936026936026924,0.0010539517159877483
pythia_160m_masked_zeroshot (Masked),model,0.0001806736443662922,0.031111111111111103,0.002332039933034339
pythia_160m_masked_zeroshot (Masked),software_engineer,0.0006180469715698393,0.0,0.0006365372374283895
pythia_160m_masked_zeroshot (Masked),surgeon,0.0,0.0,0.0
pythia_160m_masked_zeroshot (Masked),poet,0.00955692024779122,0.09333333333333332,0.007864807723363695
pythia_160m_masked_zeroshot (Masked),composer,0.002155561796647341,0.0222222222222222,0.0007283321194464676
pythia_160m_masked_zeroshot (Masked),painter,0.016867047452769943,0.09590517241379315,0.019963110326964788
pythia_160m_masked_zeroshot (Masked),accountant,0.0,0.0,0.0
pythia_160m_masked_zeroshot (Masked),filmmaker,0.0,0.0,0.0
pythia_160m_masked_zeroshot (Masked),dietitian,0.0012360939431396785,0.0,0.0012376237623762376
