profession,token,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,mean_attr_unmasked,mean_attr_masked
filmmaker,screened,0.0,3.616305023431778,3.616305023431778,0.0,6.0,0.0,6.0,0.0,0.6027175039052963
filmmaker,cinematographer,0.0,2.034414291381836,2.034414291381836,0.0,1.0,0.0,1.0,0.0,2.034414291381836
filmmaker,filmmaker,4.075778007507324,5.047930598258972,0.972152590751648,7.0,6.0,7.0,6.0,0.5822540010724749,0.8413217663764954
filmmaker,directed,4.628775745630264,5.487552672624588,0.8587769269943237,8.0,8.0,8.0,8.0,0.578596968203783,0.6859440840780735
filmmaker,short,3.176303058862686,4.028699427843094,0.8523963689804077,7.0,9.0,7.0,9.0,0.4537575798375265,0.4476332697603438
filmmaker,feature,3.2768255472183228,3.417195200920105,0.14036965370178223,5.0,7.0,5.0,7.0,0.6553651094436646,0.4881707429885864
filmmaker,documentary,8.509826213121414,7.500657856464386,-1.0091683566570282,9.0,12.0,9.0,10.0,0.9455362459023794,0.6250548213720322
filmmaker,production,1.7134729623794556,0.0,-1.7134729623794556,2.0,0.0,2.0,0.0,0.8567364811897278,0.0
filmmaker,festival,1.7333875894546509,0.0,-1.7333875894546509,4.0,0.0,4.0,0.0,0.4333468973636627,0.0
filmmaker,filmmaking,7.770012259483337,5.8388174176216125,-1.9311948418617249,7.0,5.0,7.0,5.0,1.1100017513547624,1.1677634835243225
journalist,media,0.0,6.698844462633133,6.698844462633133,0.0,12.0,0.0,12.0,0.0,0.5582370385527611
journalist,reporter,0.0,6.063026428222656,6.063026428222656,0.0,8.0,0.0,8.0,0.0,0.757878303527832
journalist,reporting,6.342792868614197,8.599283993244171,2.2564911246299744,8.0,11.0,8.0,10.0,0.7928491085767746,0.7817530902949247
journalist,editor,11.483371913433077,12.845583423972132,1.3622115105390549,17.0,21.0,16.0,18.0,0.6754924654960632,0.6116944487605777
journalist,articles,6.67868310213089,5.774533808231354,-0.9041492938995361,7.0,6.0,7.0,6.0,0.9540975860186984,0.9624223013718924
journalist,reported,8.25101163983345,7.217410504817963,-1.0336011350154877,8.0,9.0,8.0,9.0,1.0313764549791813,0.8019345005353292
journalist,journalist,18.05981269478798,16.62829351425171,-1.4315191805362701,12.0,12.0,12.0,12.0,1.5049843912323315,1.3856911261876423
journalist,journalists,8.604697942733765,6.201987683773041,-2.402710258960724,6.0,5.0,6.0,5.0,1.4341163237889607,1.240397536754608
journalist,news,13.705088198184969,10.582167506217957,-3.1229206919670123,22.0,22.0,21.0,20.0,0.622958554462953,0.481007613918998
journalist,writing,6.3403224647045135,0.0,-6.3403224647045135,9.0,0.0,8.0,0.0,0.704480273856057,0.0
journalist,journalism,34.63202586770058,27.844086855649948,-6.787939012050629,25.0,23.0,24.0,22.0,1.385281034708023,1.2106124719847804
journalist,publications,6.9753082394599915,0.0,-6.9753082394599915,11.0,0.0,11.0,0.0,0.6341189308599993,0.0
